# PC88Behavior バスアクセス採取結果
# 記録しているのはアドレスとアクセス種別のみ。ROM の内容は含まない。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : (なし)
frames    : 1800
type      : \n | FOR I=1 TO 5:PRINT I:NEXT\n

[測定終了時のテキスト画面]
   1| How many files(0-15)?
   2| NEC N-88 BASIC Version 2.3
   3| Copyright (C) 1981 by Microsoft
   4| 56543 Bytes free
   5| Ok
   6| for i=1 to 5:print i:next
   7|  1
   8|  2
   9|  3
  10|  4
  11|  5
  12| Ok
  19|       load "        auto          go to         list          run

[メインCPU] 総アクセス回数: exec=15129417 read=14798877 write=4686182 in=28979 out=13640

[[メインCPU] 実行された番地 (fetch)]
  3E6D-3E6D  (1)
  3E6F-3E6F  (1)
  3E71-3E71  (1)
  3E73-3E73  (1)
  3E76-3E76  (1)
  3E78-3E78  (1)
  3E7A-3E7A  (1)
  3E7C-3E7C  (1)
  3E7E-3E7E  (1)
  3E81-3E83  (3)
  3E85-3E89  (5)
  3E8C-3E8E  (3)
  3E91-3E91  (1)
  3EF3-3EF4  (2)
  3EF7-3EF9  (3)
  3EFC-3EFD  (2)
  3F00-3F02  (3)
  3F20-3F22  (3)
  3F25-3F26  (2)
  3F3F-3F3F  (1)
  3F41-3F41  (1)
  3F44-3F44  (1)
  3F46-3F47  (2)
  3F49-3F49  (1)
  3F4B-3F4B  (1)
  3F79-3F7A  (2)
  3F7D-3F7E  (2)
  3F80-3F81  (2)
  3F84-3F87  (4)
  3F8A-3F8A  (1)
  3F8D-3F8F  (3)
  3F91-3F91  (1)
  3F94-3F94  (1)
  3F97-3F98  (2)
  3FA0-3FA4  (5)
  3FA7-3FA8  (2)
  3FAA-3FAA  (1)
  3FAD-3FAD  (1)
  3FB0-3FB0  (1)
  3FB2-3FB2  (1)
  3FB4-3FB4  (1)
  3FB6-3FB6  (1)
  3FB9-3FBD  (5)
  3FBF-3FBF  (1)
  3FC2-3FC6  (5)
  3FC8-3FCD  (6)
  3FD0-3FD0  (1)
  3FD2-3FD2  (1)
  3FD4-3FD7  (4)
  3FD9-3FD9  (1)
  3FDC-3FE0  (5)
  3FE2-3FE4  (3)
  3FE7-3FE7  (1)
  3FE9-3FE9  (1)
  3FEB-3FEB  (1)
  3FEE-3FF1  (4)
  3FF3-3FF4  (2)
  3FF6-3FF7  (2)
  3FF9-3FF9  (1)
  3FFC-3FFD  (2)
  4000-4000  (1)
  4003-4008  (6)
  400A-400A  (1)
  400D-4010  (4)
  4012-4012  (1)
  4015-4019  (5)
  401B-401B  (1)
  401E-4021  (4)
  4024-4027  (4)
  402A-402C  (3)
  402F-402F  (1)
  4032-4035  (4)
  4038-403A  (3)
  403D-403F  (3)
  4042-4043  (2)
  4046-4046  (1)
  4143-4145  (3)
  4148-4149  (2)
  414B-414B  (1)
  414D-414D  (1)
  4150-4151  (2)
  4154-4155  (2)
  417B-417B  (1)
  417E-417F  (2)
  41A8-41A8  (1)
  41AB-41AB  (1)
  41AE-41AE  (1)
  41B1-41B2  (2)
  41B5-41B5  (1)
  41B7-41BB  (5)
  41BD-41BD  (1)
  41C0-41C8  (9)
  41CA-41CD  (4)
  41CF-41CF  (1)
  41D2-41D6  (5)
  41E3-41E3  (1)
  41E6-41E8  (3)
  41EB-41ED  (3)
  41F0-41F1  (2)
  41F3-41F5  (3)
  41F7-41F7  (1)
  41FA-41FD  (4)
  41FF-41FF  (1)
  4242-4243  (2)
  4245-4245  (1)
  4248-4248  (1)
  424A-424A  (1)
  424D-424D  (1)
  424F-4250  (2)
  4253-4253  (1)
  4255-4255  (1)
  428B-428C  (2)
  428E-428E  (1)
  4290-4291  (2)
  4294-4294  (1)
  4296-4296  (1)
  4298-4298  (1)
  429B-429F  (5)
  42A2-42A4  (3)
  42A6-42A8  (3)
  42AB-42AB  (1)
  42AD-42AD  (1)
  42B0-42B4  (5)
  42B7-42B8  (2)
  42BB-42BF  (5)
  42C2-42C2  (1)
  42C4-42C6  (3)
  42C8-42C9  (2)
  42CC-42CE  (3)
  42D0-42D3  (4)
  42E9-42E9  (1)
  42EC-42ED  (2)
  42F0-42F1  (2)
  42F4-42F8  (5)
  431E-4320  (3)
  4322-4322  (1)
  4325-4326  (2)
  4329-4329  (1)
  432C-432C  (1)
  432F-4335  (7)
  4337-4337  (1)
  433A-433F  (6)
  4341-4341  (1)
  4343-4343  (1)
  4345-4345  (1)
  4347-4347  (1)
  4349-4349  (1)
  434B-434C  (2)
  434F-4356  (8)
  4359-4359  (1)
  435C-435D  (2)
  4360-4361  (2)
  4364-4369  (6)
  436C-436D  (2)
  4370-4370  (1)
  4372-4373  (2)
  4375-4378  (4)
  437A-437A  (1)
  437C-437E  (3)
  4382-4387  (6)
  4389-438A  (2)
  438D-438E  (2)
  4390-4396  (7)
  43AD-43B1  (5)
  43B4-43B5  (2)
  43BB-43BF  (5)
  43C2-43C3  (2)
  43C6-43C7  (2)
  43C9-43CA  (2)
  43CC-43CC  (1)
  43CF-43CF  (1)
  43D2-43D7  (6)
  43D9-43E5  (13)
  43E7-43EB  (5)
  43ED-43ED  (1)
  43EF-43EF  (1)
  43F1-43F2  (2)
  43F5-43F5  (1)
  43F8-43F9  (2)
  43FB-4401  (7)
  4404-4408  (5)
  440A-440C  (3)
  440E-441A  (13)
  4422-4426  (5)
  4429-442D  (5)
  4430-4432  (3)
  4434-4436  (3)
  4439-443A  (2)
  443C-443D  (2)
  443F-4441  (3)
  4444-4444  (1)
  4446-4448  (3)
  444A-444C  (3)
  444E-4453  (6)
  4456-445A  (5)
  4472-4474  (3)
  4477-4477  (1)
  447A-447D  (4)
  4480-4481  (2)
  4484-4484  (1)
  4487-4487  (1)
  448A-448B  (2)
  448E-448E  (1)
  4494-4495  (2)
  4498-4499  (2)
  449C-449F  (4)
  44A2-44A5  (4)
  44A8-44A9  (2)
  44AB-44AB  (1)
  44AD-44AD  (1)
  44AF-44AF  (1)
  44B1-44B2  (2)
  44D5-44D7  (3)
  44D9-44D9  (1)
  44DB-44DB  (1)
  44DD-44DE  (2)
  44E0-44E3  (4)
  44E6-44E6  (1)
  44E9-44E9  (1)
  44EC-44F0  (5)
  4551-4552  (2)
  4555-4555  (1)
  4558-4558  (1)
  455B-455B  (1)
  455D-455F  (3)
  4562-4563  (2)
  4566-456A  (5)
  456C-456D  (2)
  456F-456F  (1)
  4571-4571  (1)
  4574-457C  (9)
  457F-4582  (4)
  4585-4587  (3)
  4589-458A  (2)
  458D-458F  (3)
  4592-4592  (1)
  4595-4596  (2)
  45DD-45DD  (1)
  45E0-45F1  (18)
  45F3-45F8  (6)
  45FB-45FB  (1)
  45FD-460F  (19)
  4611-4616  (6)
  463D-463E  (2)
  4641-464D  (13)
  4676-4676  (1)
  4679-4685  (13)
  4687-4687  (1)
  468A-468B  (2)
  46F8-46F9  (2)
  46FC-46FD  (2)
  4700-4700  (1)
  4702-4704  (3)
  4707-470C  (6)
  470F-4713  (5)
  481D-481F  (3)
  4821-4821  (1)
  4824-4824  (1)
  4826-4826  (1)
  4829-4829  (1)
  482C-482C  (1)
  4841-4842  (2)
  4845-4849  (5)
  484C-484E  (3)
  4850-4851  (2)
  4AD7-4AD7  (1)
  4AD9-4ADC  (4)
  4ADF-4AE6  (8)
  4AE9-4AEA  (2)
  4B0C-4B0C  (1)
  4B0F-4B11  (3)
  4B14-4B15  (2)
  4B18-4B18  (1)
  4B1A-4B1D  (4)
  4B20-4B20  (1)
  4B22-4B22  (1)
  4B25-4B27  (3)
  4B29-4B2A  (2)
  4B2D-4B2D  (1)
  4B30-4B30  (1)
  4B33-4B34  (2)
  4B36-4B37  (2)
  4B3A-4B3B  (2)
  4B3E-4B3E  (1)
  4C70-4C70  (1)
  4C73-4C73  (1)
  4C7D-4C7D  (1)
  4C7F-4C7F  (1)
  4CAB-4CAB  (1)
  4CAE-4CB0  (3)
  4EB3-4EB3  (1)
  4EB6-4EBC  (7)
  4EC1-4EC2  (2)
  4EC5-4EC5  (1)
  4EC7-4EC9  (3)
  4ECB-4ECD  (3)
  4ECF-4ED1  (3)
  4ED3-4ED5  (3)
  4EE4-4EE4  (1)
  4EE7-4EE7  (1)
  4EF7-4EF9  (3)
  4EFC-4EFF  (4)
  4F01-4F01  (1)
  4F04-4F04  (1)
  4F07-4F08  (2)
  4F0A-4F0B  (2)
  4F0E-4F0E  (1)
  4F11-4F11  (1)
  4F14-4F14  (1)
  4F17-4F1B  (5)
  4F1E-4F1E  (1)
  4F21-4F21  (1)
  4F24-4F24  (1)
  4F27-4F27  (1)
  4F2A-4F2B  (2)
  4F2E-4F2F  (2)
  4F32-4F32  (1)
  4F35-4F35  (1)
  4F38-4F38  (1)
  4F3B-4F3B  (1)
  4F3E-4F3E  (1)
  4F41-4F41  (1)
  4F44-4F45  (2)
  4F47-4F48  (2)
  4F4B-4F4B  (1)
  4F4E-4F4E  (1)
  4F50-4F50  (1)
  4F53-4F53  (1)
  4F56-4F56  (1)
  4F58-4F59  (2)
  4F5B-4F5B  (1)
  4F5E-4F5E  (1)
  4F61-4F61  (1)
  4F64-4F64  (1)
  4F67-4F6E  (8)
  4F71-4F73  (3)
  4F76-4F76  (1)
  4F79-4F79  (1)
  4F7C-4F7C  (1)
  4F7F-4F80  (2)
  4F82-4F82  (1)
  4F85-4F86  (2)
  4F89-4F89  (1)
  4F8C-4F8C  (1)
  4F8F-4F8F  (1)
  4F92-4F92  (1)
  4F95-4F95  (1)
  4F98-4F98  (1)
  4F9B-4F9C  (2)
  4F9F-4F9F  (1)
  4FA2-4FA2  (1)
  4FA4-4FA4  (1)
  4FA6-4FA6  (1)
  4FA9-4FAA  (2)
  4FAD-4FAF  (3)
  4FB2-4FB4  (3)
  4FB7-4FB8  (2)
  4FBB-4FBB  (1)
  4FBE-4FBE  (1)
  4FC1-4FC1  (1)
  4FC4-4FC4  (1)
  4FC7-4FCA  (4)
  4FCD-4FCD  (1)
  4FD0-4FD0  (1)
  4FD3-4FD3  (1)
  4FD6-4FD6  (1)
  4FD9-4FD9  (1)
  4FDC-4FDE  (3)
  4FE1-4FE1  (1)
  4FE4-4FE4  (1)
  4FF5-4FF7  (3)
  4FF9-4FF9  (1)
  5002-5002  (1)
  5004-5004  (1)
  5006-5007  (2)
  5045-5045  (1)
  5048-5048  (1)
  504B-5053  (9)
  5055-5055  (1)
  5058-5058  (1)
  50A5-50A6  (2)
  50A9-50A9  (1)
  50C4-50C5  (2)
  50C8-50C9  (2)
  50FB-50FB  (1)
  50FE-5103  (6)
  510E-510F  (2)
  5112-5112  (1)
  5115-5116  (2)
  5119-5119  (1)
  511C-511C  (1)
  511F-5120  (2)
  5123-5123  (1)
  5126-5126  (1)
  5159-515A  (2)
  515D-515D  (1)
  51DB-51DF  (5)
  51E2-51E5  (4)
  51E8-51E8  (1)
  5215-5216  (2)
  5218-5219  (2)
  521B-521C  (2)
  52BD-52C0  (4)
  52C3-52C4  (2)
  52C7-52C8  (2)
  52CB-52CB  (1)
  52CE-52CF  (2)
  52D2-52D2  (1)
  52D5-52D5  (1)
  52D8-52D8  (1)
  52DB-52E2  (8)
  52E5-52E6  (2)
  52E9-52F3  (11)
  52F6-52F6  (1)
  52F9-52FB  (3)
  52FE-52FF  (2)
  5301-5301  (1)
  5304-5304  (1)
  5307-5308  (2)
  530B-530C  (2)
  530F-5310  (2)
  5313-5314  (2)
  5317-5317  (1)
  534D-5350  (4)
  5353-5353  (1)
  5355-5356  (2)
  5359-535B  (3)
  535E-535E  (1)
  5361-5362  (2)
  5365-5365  (1)
  5368-5369  (2)
  536B-536B  (1)
  5372-5372  (1)
  5375-5376  (2)
  5379-537C  (4)
  54F1-54F1  (1)
  54F4-54FD  (10)
  54FF-5501  (3)
  5503-5507  (5)
  5509-550A  (2)
  550C-550D  (2)
  550F-550F  (1)
  5511-5511  (1)
  5514-5516  (3)
  5518-5518  (1)
  5524-5529  (6)
  552C-552C  (1)
  552F-552F  (1)
  5531-5531  (1)
  5534-5534  (1)
  5537-5537  (1)
  5539-5539  (1)
  553C-553C  (1)
  553F-553F  (1)
  5542-5543  (2)
  5546-5548  (3)
  554F-5550  (2)
  5553-5553  (1)
  5556-5556  (1)
  5558-555D  (6)
  5560-5562  (3)
  5564-5564  (1)
  5567-5568  (2)
  556B-556C  (2)
  556E-556F  (2)
  5571-5571  (1)
  56CC-56CC  (1)
  56CF-56D0  (2)
  56D3-56DA  (8)
  56DD-56DE  (2)
  56E5-56E7  (3)
  56EA-56EA  (1)
  56ED-56F4  (8)
  56F7-56F7  (1)
  5925-5926  (2)
  5929-5929  (1)
  592C-592D  (2)
  5930-5931  (2)
  5989-598A  (2)
  598D-598D  (1)
  5990-5990  (1)
  5993-5994  (2)
  59A5-59A5  (1)
  59A8-59A9  (2)
  59AC-59AC  (1)
  59AF-59B0  (2)
  59D0-59D0  (1)
  59D3-59D4  (2)
  59DB-59DB  (1)
  59DE-59DF  (2)
  59E6-59E9  (4)
  59EB-59EB  (1)
  5A00-5A04  (5)
  5A07-5A07  (1)
  5A58-5A58  (1)
  5A5B-5A5C  (2)
  5A69-5A69  (1)
  5A6C-5A6C  (1)
  5A6E-5A6F  (2)
  5A71-5A72  (2)
  5A75-5A75  (1)
  5A77-5A79  (3)
  5A7C-5A7D  (2)
  5A86-5A86  (1)
  5A89-5A89  (1)
  5A8C-5A8D  (2)
  5ACA-5ACB  (2)
  5ACE-5ACF  (2)
  5AD2-5AD2  (1)
  5AD5-5AD5  (1)
  5AD8-5ADA  (3)
  5ADD-5ADF  (3)
  5AE1-5AE1  (1)
  5AE3-5AE3  (1)
  5AE5-5AE5  (1)
  5AE7-5AE7  (1)
  5AED-5AED  (1)
  5AF0-5AF0  (1)
  5B1C-5B1C  (1)
  5B1E-5B1E  (1)
  5B37-5B38  (2)
  5B3A-5B3B  (2)
  5B3D-5B3E  (2)
  5B41-5B46  (6)
  5B49-5B4A  (2)
  5B4D-5B4E  (2)
  5B51-5B51  (1)
  5B54-5B55  (2)
  5B57-5B57  (1)
  5B5A-5B5A  (1)
  5B5C-5B5C  (1)
  5B5F-5B60  (2)
  5B63-5B64  (2)
  5B67-5B68  (2)
  5B6B-5B6B  (1)
  5B7A-5B80  (7)
  5B82-5B82  (1)
  5B85-5B86  (2)
  5B88-5B8A  (3)
  5B95-5B96  (2)
  5B99-5B9A  (2)
  5B9D-5B9D  (1)
  5BA0-5BA1  (2)
  5BA3-5BA3  (1)
  5BA6-5BA7  (2)
  5BAD-5BAD  (1)
  5BB0-5BB0  (1)
  5BB3-5BB3  (1)
  5BB6-5BB6  (1)
  5BC1-5BC4  (4)
  5BC7-5BC8  (2)
  5BCA-5BCA  (1)
  5BCD-5BCF  (3)
  5BD1-5BD4  (4)
  5BD7-5BD8  (2)
  5BDB-5BDF  (5)
  5BE1-5BE4  (4)
  5BE7-5BEB  (5)
  5BEE-5BEF  (2)
  5BF2-5BF4  (3)
  5BF7-5BF8  (2)
  5BFA-5BFB  (2)
  5BFD-5C04  (8)
  5C07-5C0C  (6)
  5C0F-5C12  (4)
  5C15-5C16  (2)
  5C18-5C1A  (3)
  5DA6-5DA9  (4)
  5DAC-5DB4  (9)
  5DB6-5DB9  (4)
  5DE5-5DE5  (1)
  5DE8-5DE8  (1)
  5DEB-5DEB  (1)
  5DF7-5DF7  (1)
  5DF9-5DFA  (2)
  5DFC-5DFC  (1)
  5DFF-5E00  (2)
  5E03-5E03  (1)
  5E06-5E07  (2)
  5E10-5E10  (1)
  5E12-5E12  (1)
  5E15-5E15  (1)
  5E17-5E17  (1)
  5E1A-5E1A  (1)
  5E23-5E23  (1)
  5E26-5E28  (3)
  5E2F-5E30  (2)
  5E40-5E40  (1)
  5E43-5E46  (4)
  5E49-5E49  (1)
  5E4C-5E4C  (1)
  5E4E-5E4E  (1)
  5E51-5E51  (1)
  5F0E-5F0E  (1)
  5F11-5F12  (2)
  5F15-5F15  (1)
  5F18-5F19  (2)
  5F1B-5F1D  (3)
  5F20-5F26  (7)
  5F2A-5F2B  (2)
  5F2D-5F2F  (3)
  5F31-5F35  (5)
  5F38-5F38  (1)
  5F3B-5F3F  (5)
  5F41-5F41  (1)
  5F44-5F44  (1)
  5F47-5F47  (1)
  5F4A-5F4A  (1)
  5F4D-5F4D  (1)
  5F76-5F77  (2)
  5F7A-5F7A  (1)
  5F7C-5F81  (6)
  5F83-5F87  (5)
  5F8A-5F8A  (1)
  5F8C-5F92  (7)
  5F95-5F95  (1)
  5F98-5F99  (2)
  5F9C-5F9C  (1)
  5F9E-5F9E  (1)
  5FA1-5FA1  (1)
  5FA4-5FA4  (1)
  5FA7-5FA7  (1)
  5FAA-5FAB  (2)
  5FAF-5FAF  (1)
  5FB2-5FB4  (3)
  5FB8-5FB9  (2)
  5FBC-5FBC  (1)
  5FBF-5FC0  (2)
  5FC2-5FC2  (1)
  5FC4-5FC5  (2)
  5FC7-5FC8  (2)
  5FCB-5FCB  (1)
  5FCE-5FCE  (1)
  5FD1-5FD1  (1)
  5FD4-5FD5  (2)
  5FD8-5FD8  (1)
  5FDB-5FDC  (2)
  5FDF-5FDF  (1)
  5FE2-5FE3  (2)
  5FE6-5FE8  (3)
  5FEA-5FEB  (2)
  5FED-5FED  (1)
  5FEF-5FEF  (1)
  5FF2-5FF2  (1)
  5FF5-5FF6  (2)
  6001-6001  (1)
  6004-6005  (2)
  6008-6009  (2)
  600C-600E  (3)
  6010-6012  (3)
  6017-6017  (1)
  601A-601B  (2)
  6021-6022  (2)
  6025-6025  (1)
  6027-6027  (1)
  6029-602A  (2)
  602C-602E  (3)
  6031-6032  (2)
  6034-6035  (2)
  6037-6038  (2)
  603B-603B  (1)
  6042-6047  (6)
  6049-604A  (2)
  604D-604D  (1)
  604F-604F  (1)
  6052-6052  (1)
  6055-6057  (3)
  605A-605B  (2)
  605E-605E  (1)
  6060-6060  (1)
  6063-6063  (1)
  6066-606D  (8)
  6070-6076  (7)
  6079-607A  (2)
  607C-607C  (1)
  607E-607F  (2)
  60D8-60D8  (1)
  60DB-60DC  (2)
  60E3-60E3  (1)
  60E6-60E6  (1)
  6144-6145  (2)
  6148-614A  (3)
  6154-6154  (1)
  6157-6157  (1)
  615A-615A  (1)
  615C-615C  (1)
  615F-6160  (2)
  6162-6162  (1)
  6164-6164  (1)
  6167-6168  (2)
  616B-616C  (2)
  616E-616E  (1)
  6171-6172  (2)
  6175-6175  (1)
  6178-617A  (3)
  617C-617D  (2)
  6180-6181  (2)
  6190-6191  (2)
  6194-6194  (1)
  6196-6197  (2)
  6199-619A  (2)
  619C-619C  (1)
  619F-619F  (1)
  61A2-61A2  (1)
  61A5-61A8  (4)
  61AA-61AE  (5)
  61B0-61B0  (1)
  61B2-61B2  (1)
  61B4-61B4  (1)
  61B6-61B7  (2)
  61BA-61BB  (2)
  61C0-61C2  (3)
  61C4-61C5  (2)
  61CA-61CC  (3)
  61CF-61CF  (1)
  61D2-61D2  (1)
  61D5-61D6  (2)
  61E9-61E9  (1)
  61EB-61EC  (2)
  61EF-61F1  (3)
  61F3-61F6  (4)
  61F9-61FF  (7)
  6201-6205  (5)
  6207-6208  (2)
  620B-620D  (3)
  6220-6221  (2)
  6224-6225  (2)
  6228-6234  (13)
  6236-6237  (2)
  623A-623C  (3)
  62E6-62E7  (2)
  62E9-62E9  (1)
  62EC-62EC  (1)
  62EF-62EF  (1)
  62F2-62F2  (1)
  62F5-62F5  (1)
  62F8-62F8  (1)
  62FB-62FB  (1)
  62FE-62FE  (1)
  6301-6301  (1)
  6304-6304  (1)
  6307-6307  (1)
  630A-630A  (1)
  630C-630C  (1)
  630F-630F  (1)
  6312-6312  (1)
  6314-6314  (1)
  6316-6316  (1)
  6318-6318  (1)
  631A-631B  (2)
  631D-631D  (1)
  631F-631F  (1)
  6322-6322  (1)
  6324-6324  (1)
  6327-6327  (1)
  6329-6329  (1)
  632C-632C  (1)
  632F-6331  (3)
  6334-6335  (2)
  6337-6339  (3)
  633C-633C  (1)
  633E-6341  (4)
  6344-6346  (3)
  6348-634A  (3)
  634D-634D  (1)
  6352-6352  (1)
  6355-6356  (2)
  6359-6359  (1)
  635C-635C  (1)
  635F-635F  (1)
  6362-6362  (1)
  6365-6365  (1)
  6368-6368  (1)
  636B-636B  (1)
  636E-6371  (4)
  6374-6376  (3)
  6379-6379  (1)
  637C-637C  (1)
  637F-637F  (1)
  6382-6382  (1)
  6384-6384  (1)
  6387-6387  (1)
  638A-638A  (1)
  638D-638D  (1)
  6390-6390  (1)
  6392-6392  (1)
  6395-6395  (1)
  6398-6398  (1)
  639B-639B  (1)
  639D-639E  (2)
  63A1-63A1  (1)
  63A4-63A4  (1)
  63A7-63A8  (2)
  63AB-63AD  (3)
  63B0-63B1  (2)
  63B4-63B4  (1)
  63B7-63B8  (2)
  63BB-63BC  (2)
  63BF-63C0  (2)
  63C3-63C3  (1)
  63C6-63C6  (1)
  63C9-63C9  (1)
  63CC-63CE  (3)
  63D1-63D2  (2)
  63D5-63D5  (1)
  63D8-63D8  (1)
  63DB-63DF  (5)
  63E2-63E2  (1)
  63E5-63E5  (1)
  63E8-63EE  (7)
  63F0-63F1  (2)
  63F3-63F3  (1)
  63F6-63F6  (1)
  63F9-63F9  (1)
  63FC-63FC  (1)
  63FF-63FF  (1)
  6402-6404  (3)
  6407-6407  (1)
  640A-640A  (1)
  640D-640D  (1)
  6410-6410  (1)
  6413-6413  (1)
  6416-6417  (2)
  641A-641B  (2)
  641E-641F  (2)
  6425-6425  (1)
  646E-646F  (2)
  6472-6473  (2)
  6475-6475  (1)
  6478-6478  (1)
  647B-6483  (9)
  6485-648C  (8)
  648E-648E  (1)
  6491-6492  (2)
  6495-6496  (2)
  6499-6499  (1)
  649C-649C  (1)
  649F-649F  (1)
  64A1-64A1  (1)
  64A4-64A4  (1)
  64A6-64A6  (1)
  64A9-64AA  (2)
  64AC-64AD  (2)
  64C7-64C7  (1)
  64E5-64E5  (1)
  64F3-64F4  (2)
  64F7-64F7  (1)
  64F9-64F9  (1)
  64FC-64FC  (1)
  64FE-64FE  (1)
  6501-6501  (1)
  6503-6503  (1)
  6505-6505  (1)
  6509-6509  (1)
  650C-650C  (1)
  650E-650F  (2)
  6511-6512  (2)
  6514-6517  (4)
  651A-651A  (1)
  651C-651E  (3)
  6520-6520  (1)
  6522-6522  (1)
  6525-6529  (5)
  652B-652E  (4)
  6531-6533  (3)
  6536-6537  (2)
  6539-6539  (1)
  653B-653C  (2)
  653E-653F  (2)
  6541-6542  (2)
  681F-6820  (2)
  6823-6823  (1)
  6826-6826  (1)
  6829-6829  (1)
  682C-682C  (1)
  682F-682F  (1)
  6832-6832  (1)
  6835-6835  (1)
  6838-6838  (1)
  683B-683B  (1)
  683E-683E  (1)
  6841-6841  (1)
  6844-6844  (1)
  6847-6847  (1)
  684A-684A  (1)
  684D-684D  (1)
  6850-6850  (1)
  6853-6853  (1)
  6856-6856  (1)
  6859-6859  (1)
  685C-685F  (4)
  6861-6862  (2)
  6865-6865  (1)
  6868-6868  (1)
  686B-686B  (1)
  686E-686E  (1)
  6871-6871  (1)
  6874-6874  (1)
  6877-6877  (1)
  68A3-68A4  (2)
  69B2-69B2  (1)
  69B5-69B5  (1)
  69B7-69B7  (1)
  69BA-69BA  (1)
  69BC-69BD  (2)
  69BF-69BF  (1)
  69C2-69C2  (1)
  69C4-69C4  (1)
  69C7-69C7  (1)
  69D1-69D1  (1)
  69D4-69D8  (5)
  69DB-69DB  (1)
  69DE-69E1  (4)
  69E4-69E4  (1)
  69E7-69E8  (2)
  69EA-69EA  (1)
  69EC-69EC  (1)
  69EE-69EF  (2)
  69F1-69F1  (1)
  69F5-69F6  (2)
  69F9-69FB  (3)
  6B5C-6B5C  (1)
  6B62-6B62  (1)
  6EB6-6EB6  (1)
  6F0A-6F0A  (1)
  6F6A-6F6C  (3)
  6F6F-6F6F  (1)
  6F72-6F72  (1)
  6F75-6F76  (2)
  6F78-6F7B  (4)
  6F7E-6F7E  (1)
  6F82-6F84  (3)
  6F86-6F89  (4)
  6F8B-6F8C  (2)
  6F8E-6F8F  (2)
  6F92-6F93  (2)
  6F96-6F97  (2)
  6F9A-6F9A  (1)
  6F9D-6F9D  (1)
  6FA0-6FA1  (2)
  6FA4-6FA4  (1)
  6FA7-6FA8  (2)
  6FB4-6FB4  (1)
  6FB7-6FB8  (2)
  6FBB-6FBD  (3)
  6FC2-6FC2  (1)
  6FC5-6FC6  (2)
  6FC8-6FCA  (3)
  6FCD-6FCD  (1)
  6FD0-6FD1  (2)
  6FD3-6FD3  (1)
  6FD6-6FD6  (1)
  6FD8-6FD8  (1)
  6FDA-6FDB  (2)
  6FDE-6FDE  (1)
  6FE2-6FE3  (2)
  6FE6-6FE6  (1)
  6FE8-6FE9  (2)
  6FEC-6FEC  (1)
  6FEE-6FEE  (1)
  6FF1-6FF1  (1)
  6FF3-6FF5  (3)
  6FF8-6FF8  (1)
  6FFA-6FFA  (1)
  6FFC-6FFD  (2)
  6FFF-6FFF  (1)
  7002-7002  (1)
  7005-7005  (1)
  7007-7007  (1)
  700A-700A  (1)
  700C-700C  (1)
  700F-7010  (2)
  7012-7012  (1)
  7014-7014  (1)
  7016-7017  (2)
  701A-701B  (2)
  701D-701E  (2)
  7020-7023  (4)
  7025-7027  (3)
  7029-702A  (2)
  702C-702D  (2)
  702F-7030  (2)
  7032-7032  (1)
  7035-7035  (1)
  7037-7037  (1)
  7039-7039  (1)
  703B-703B  (1)
  703D-703D  (1)
  703F-703F  (1)
  7041-7041  (1)
  7043-7043  (1)
  7045-7045  (1)
  7047-7047  (1)
  704A-704A  (1)
  704C-704C  (1)
  704E-704E  (1)
  7050-7050  (1)
  7053-7053  (1)
  7055-7055  (1)
  7058-7058  (1)
  705A-705A  (1)
  717F-717F  (1)
  7182-7185  (4)
  7187-7187  (1)
  72CD-72CF  (3)
  72D1-72D1  (1)
  72D4-72D4  (1)
  72D6-72D6  (1)
  72D9-72D9  (1)
  72DB-72DB  (1)
  72DE-72DE  (1)
  72E0-72E0  (1)
  72E2-72E2  (1)
  72E5-72E5  (1)
  72E8-72E8  (1)
  72EB-72EB  (1)
  72EE-72EE  (1)
  72F1-72F2  (2)
  72F5-72F5  (1)
  72F7-72F7  (1)
  72FA-72FA  (1)
  72FC-72FC  (1)
  72FF-72FF  (1)
  7302-7302  (1)
  7304-7306  (3)
  7308-7308  (1)
  730A-730B  (2)
  730E-730E  (1)
  7310-7310  (1)
  7312-7312  (1)
  7314-7314  (1)
  7316-7316  (1)
  7319-7319  (1)
  731B-731B  (1)
  731D-731F  (3)
  7321-7324  (4)
  7327-7327  (1)
  7329-7329  (1)
  732C-732C  (1)
  732E-732E  (1)
  7331-7331  (1)
  7333-7334  (2)
  7337-7338  (2)
  733B-733B  (1)
  733E-733E  (1)
  7341-7341  (1)
  754F-754F  (1)
  7552-7552  (1)
  7555-7555  (1)
  7558-7558  (1)
  755B-755B  (1)
  755E-755E  (1)
  7561-7561  (1)
  7564-7564  (1)
  7566-7567  (2)
  756A-756A  (1)
  756D-756D  (1)
  7570-7571  (2)
  7574-7574  (1)
  7577-7578  (2)
  757B-757C  (2)
  757F-757F  (1)
  7582-7582  (1)
  7585-7586  (2)
  7589-758A  (2)
  758C-758C  (1)
  758E-7591  (4)
  7593-7593  (1)
  7598-759B  (4)
  75A8-75A8  (1)
  75AB-75AC  (2)
  75AF-75B0  (2)
  75B3-75B5  (3)
  75B8-75B8  (1)
  75BB-75BB  (1)
  75BE-75BE  (1)
  75C1-75C1  (1)
  75C4-75C4  (1)
  75C7-75C7  (1)
  75CC-75CD  (2)
  75D0-75D0  (1)
  75D3-75D5  (3)
  7750-7752  (3)
